S,I,R,tempo
0.18,2.23,67.59,373.8
0.18,2.23,67.59,373.9
0.18,2.23,67.60,374.0
0.18,2.23,67.60,374.1
0.18,2.22,67.60,374.2
0.18,2.22,67.60,374.3
0.18,2.22,67.61,374.4
0.18,2.22,67.61,374.5
0.18,2.21,67.61,374.6
0.18,2.21,67.61,374.7
0.18,2.21,67.62,374.8
0.18,2.21,67.62,374.9
0.18,2.20,67.62,375.0
0.18,2.20,67.62,375.1
0.18,2.20,67.63,375.2
0.18,2.20,67.63,375.3
0.18,2.19,67.63,375.4
0.18,2.19,67.63,375.5
0.18,2.19,67.64,375.6
0.18,2.19,67.64,375.7
0.18,2.18,67.64,375.8
0.18,2.18,67.64,375.9
0.18,2.18,67.65,376.0
0.18,2.18,67.65,376.1
0.18,2.17,67.65,376.2
0.18,2.17,67.65,376.3
0.18,2.17,67.66,376.4
0.18,2.17,67.66,376.5
0.18,2.16,67.66,376.6
0.18,2.16,67.66,376.7
0.18,2.16,67.67,376.8
0.18,2.16,67.67,376.9
0.18,2.15,67.67,377.0
0.17,2.15,67.67,377.1
0.17,2.15,67.68,377.2
0.17,2.15,67.68,377.3
0.17,2.14,67.68,377.4
0.17,2.14,67.68,377.5
0.17,2.14,67.69,377.6
0.17,2.14,67.69,377.7
0.17,2.13,67.69,377.8
0.17,2.13,67.69,377.9
0.17,2.13,67.70,378.0
0.17,2.13,67.70,378.1
0.17,2.13,67.70,378.2
0.17,2.12,67.70,378.3
0.17,2.12,67.70,378.4
0.17,2.12,67.71,378.5
0.17,2.12,67.71,378.6
0.17,2.11,67.71,378.7
0.17,2.11,67.71,378.8
0.17,2.11,67.72,378.9
0.17,2.11,67.72,379.0
0.17,2.10,67.72,379.1
0.17,2.10,67.72,379.2
0.17,2.10,67.73,379.3
0.17,2.10,67.73,379.4
0.17,2.09,67.73,379.5
0.17,2.09,67.73,379.6
0.17,2.09,67.74,379.7
0.17,2.09,67.74,379.8
0.17,2.09,67.74,379.9
0.17,2.08,67.74,380.0
0.17,2.08,67.75,380.1
0.17,2.08,67.75,380.2
0.17,2.08,67.75,380.3
0.17,2.07,67.75,380.4
0.17,2.07,67.75,380.5
0.17,2.07,67.76,380.6
0.17,2.07,67.76,380.7
0.17,2.06,67.76,380.8
0.17,2.06,67.76,380.9
0.17,2.06,67.77,381.0
0.17,2.06,67.77,381.1
0.17,2.06,67.77,381.2
0.17,2.05,67.77,381.3
0.17,2.05,67.78,381.4
0.17,2.05,67.78,381.5
0.17,2.05,67.78,381.6
0.17,2.04,67.78,381.7
0.17,2.04,67.79,381.8
0.17,2.04,67.79,381.9
0.17,2.04,67.79,382.0
0.17,2.03,67.79,382.1
0.17,2.03,67.79,382.2
0.17,2.03,67.80,382.3
0.17,2.03,67.80,382.4
0.17,2.03,67.80,382.5
0.17,2.02,67.80,382.6
0.17,2.02,67.81,382.7
0.17,2.02,67.81,382.8
0.17,2.02,67.81,382.9
0.17,2.01,67.81,383.0
0.17,2.01,67.82,383.1
0.17,2.01,67.82,383.2
0.17,2.01,67.82,383.3
0.17,2.01,67.82,383.4
0.17,2.00,67.82,383.5
0.17,2.00,67.83,383.6
0.17,2.00,67.83,383.7
0.17,2.00,67.83,383.8
0.17,1.99,67.83,383.9
0.17,1.99,67.84,384.0
0.17,1.99,67.84,384.1
0.17,1.99,67.84,384.2
0.17,1.99,67.84,384.3
0.17,1.98,67.84,384.4
0.17,1.98,67.85,384.5
0.17,1.98,67.85,384.6
0.17,1.98,67.85,384.7
0.17,1.97,67.85,384.8
0.17,1.97,67.86,384.9
0.17,1.97,67.86,385.0
0.17,1.97,67.86,385.1
0.17,1.97,67.86,385.2
0.17,1.96,67.86,385.3
0.17,1.96,67.87,385.4
0.17,1.96,67.87,385.5
0.17,1.96,67.87,385.6
0.17,1.95,67.87,385.7
0.17,1.95,67.88,385.8
0.17,1.95,67.88,385.9
0.17,1.95,67.88,386.0
0.17,1.95,67.88,386.1
0.17,1.94,67.88,386.2
0.17,1.94,67.89,386.3
0.17,1.94,67.89,386.4
0.17,1.94,67.89,386.5
0.17,1.93,67.89,386.6
0.17,1.93,67.90,386.7
0.17,1.93,67.90,386.8
0.17,1.93,67.90,386.9
0.17,1.93,67.90,387.0
0.17,1.92,67.90,387.1
0.17,1.92,67.91,387.2
0.17,1.92,67.91,387.3
0.17,1.92,67.91,387.4
0.17,1.92,67.91,387.5
0.17,1.91,67.92,387.6
0.17,1.91,67.92,387.7
0.17,1.91,67.92,387.8
0.17,1.91,67.92,387.9
0.17,1.90,67.92,388.0
0.17,1.90,67.93,388.1
0.17,1.90,67.93,388.2
0.17,1.90,67.93,388.3
0.17,1.90,67.93,388.4
0.17,1.89,67.94,388.5
0.17,1.89,67.94,388.6
0.17,1.89,67.94,388.7
0.17,1.89,67.94,388.8
0.17,1.89,67.94,388.9
0.17,1.88,67.95,389.0
0.17,1.88,67.95,389.1
0.17,1.88,67.95,389.2
0.17,1.88,67.95,389.3
0.17,1.87,67.95,389.4
0.17,1.87,67.96,389.5
0.17,1.87,67.96,389.6
0.17,1.87,67.96,389.7
0.17,1.87,67.96,389.8
0.17,1.86,67.97,389.9
0.17,1.86,67.97,390.0
0.17,1.86,67.97,390.1
0.17,1.86,67.97,390.2
0.17,1.86,67.97,390.3
0.17,1.85,67.98,390.4
0.17,1.85,67.98,390.5
0.17,1.85,67.98,390.6
0.17,1.85,67.98,390.7
0.17,1.85,67.98,390.8
0.17,1.84,67.99,390.9
0.17,1.84,67.99,391.0
0.17,1.84,67.99,391.1
0.17,1.84,67.99,391.2
0.17,1.84,67.99,391.3
0.17,1.83,68.00,391.4
0.17,1.83,68.00,391.5
0.17,1.83,68.00,391.6
0.17,1.83,68.00,391.7
0.17,1.83,68.00,391.8
0.17,1.82,68.01,391.9
0.17,1.82,68.01,392.0
0.17,1.82,68.01,392.1
0.17,1.82,68.01,392.2
0.17,1.82,68.02,392.3
0.17,1.81,68.02,392.4
0.17,1.81,68.02,392.5
0.17,1.81,68.02,392.6
0.17,1.81,68.02,392.7
0.17,1.80,68.03,392.8
0.17,1.80,68.03,392.9
0.17,1.80,68.03,393.0
0.17,1.80,68.03,393.1
0.17,1.80,68.03,393.2
0.17,1.79,68.04,393.3
0.17,1.79,68.04,393.4
0.17,1.79,68.04,393.5
0.17,1.79,68.04,393.6
0.17,1.79,68.04,393.7
0.17,1.78,68.05,393.8
0.17,1.78,68.05,393.9
0.17,1.78,68.05,394.0
0.17,1.78,68.05,394.1
0.17,1.78,68.05,394.2
0.17,1.77,68.06,394.3
0.17,1.77,68.06,394.4
0.17,1.77,68.06,394.5
0.17,1.77,68.06,394.6
0.17,1.77,68.06,394.7
0.17,1.76,68.07,394.8
0.17,1.76,68.07,394.9
0.17,1.76,68.07,395.0
0.17,1.76,68.07,395.1
0.17,1.76,68.07,395.2
0.17,1.76,68.08,395.3
0.17,1.75,68.08,395.4
0.17,1.75,68.08,395.5
0.17,1.75,68.08,395.6
0.17,1.75,68.08,395.7
0.17,1.75,68.09,395.8
0.17,1.74,68.09,395.9
0.17,1.74,68.09,396.0
0.17,1.74,68.09,396.1
0.17,1.74,68.09,396.2
0.17,1.74,68.10,396.3
0.17,1.73,68.10,396.4
0.17,1.73,68.10,396.5
0.17,1.73,68.10,396.6
0.17,1.73,68.10,396.7
0.17,1.73,68.11,396.8
0.17,1.72,68.11,396.9
0.17,1.72,68.11,397.0
0.17,1.72,68.11,397.1
0.17,1.72,68.11,397.2
0.17,1.72,68.12,397.3
0.17,1.71,68.12,397.4
0.17,1.71,68.12,397.5
0.17,1.71,68.12,397.6
0.17,1.71,68.12,397.7
0.17,1.71,68.13,397.8
0.17,1.70,68.13,397.9
0.17,1.70,68.13,398.0
0.17,1.70,68.13,398.1
0.17,1.70,68.13,398.2
0.17,1.70,68.13,398.3
0.17,1.70,68.14,398.4
0.17,1.69,68.14,398.5
0.17,1.69,68.14,398.6
0.17,1.69,68.14,398.7
0.17,1.69,68.14,398.8
0.17,1.69,68.15,398.9
0.17,1.68,68.15,399.0
0.17,1.68,68.15,399.1
0.17,1.68,68.15,399.2
0.17,1.68,68.15,399.3
0.17,1.68,68.16,399.4
0.17,1.67,68.16,399.5
0.17,1.67,68.16,399.6
0.17,1.67,68.16,399.7
0.17,1.67,68.16,399.8
0.17,1.67,68.17,399.9
0.17,1.67,68.17,400.0
0.17,1.66,68.17,400.1
0.17,1.66,68.17,400.2
0.17,1.66,68.17,400.3
0.17,1.66,68.18,400.4
0.17,1.66,68.18,400.5
0.17,1.65,68.18,400.6
0.17,1.65,68.18,400.7
0.17,1.65,68.18,400.8
0.17,1.65,68.18,400.9
0.17,1.65,68.19,401.0
0.17,1.64,68.19,401.1
0.17,1.64,68.19,401.2
0.17,1.64,68.19,401.3
0.17,1.64,68.19,401.4
0.17,1.64,68.20,401.5
0.17,1.64,68.20,401.6
0.17,1.63,68.20,401.7
0.17,1.63,68.20,401.8
0.17,1.63,68.20,401.9
0.17,1.63,68.20,402.0
0.17,1.63,68.21,402.1
0.17,1.62,68.21,402.2
0.17,1.62,68.21,402.3
0.17,1.62,68.21,402.4
0.17,1.62,68.21,402.5
0.17,1.62,68.22,402.6
0.17,1.62,68.22,402.7
0.17,1.61,68.22,402.8
0.17,1.61,68.22,402.9
0.17,1.61,68.22,403.0
0.17,1.61,68.23,403.1
0.17,1.61,68.23,403.2
0.17,1.60,68.23,403.3
0.17,1.60,68.23,403.4
0.17,1.60,68.23,403.5
0.17,1.60,68.23,403.6
0.17,1.60,68.24,403.7
0.17,1.60,68.24,403.8
0.17,1.59,68.24,403.9
0.17,1.59,68.24,404.0
0.17,1.59,68.24,404.1
0.17,1.59,68.25,404.2
0.17,1.59,68.25,404.3
0.17,1.58,68.25,404.4
0.17,1.58,68.25,404.5
0.17,1.58,68.25,404.6
0.17,1.58,68.25,404.7
0.17,1.58,68.26,404.8
0.17,1.58,68.26,404.9
0.17,1.57,68.26,405.0
0.17,1.57,68.26,405.1
0.17,1.57,68.26,405.2
0.17,1.57,68.26,405.3
0.17,1.57,68.27,405.4
0.17,1.57,68.27,405.5
0.17,1.56,68.27,405.6
0.17,1.56,68.27,405.7
0.17,1.56,68.27,405.8
0.17,1.56,68.28,405.9
0.17,1.56,68.28,406.0
0.17,1.56,68.28,406.1
0.17,1.55,68.28,406.2
0.17,1.55,68.28,406.3
0.17,1.55,68.28,406.4
0.17,1.55,68.29,406.5
0.17,1.55,68.29,406.6
0.17,1.54,68.29,406.7
0.17,1.54,68.29,406.8
0.17,1.54,68.29,406.9
0.17,1.54,68.29,407.0
0.17,1.54,68.30,407.1
0.17,1.54,68.30,407.2
0.17,1.53,68.30,407.3
0.17,1.53,68.30,407.4
0.17,1.53,68.30,407.5
0.17,1.53,68.31,407.6
0.17,1.53,68.31,407.7
0.17,1.53,68.31,407.8
0.17,1.52,68.31,407.9
0.17,1.52,68.31,408.0
0.17,1.52,68.31,408.1
0.17,1.52,68.32,408.2
0.17,1.52,68.32,408.3
0.17,1.52,68.32,408.4
0.17,1.51,68.32,408.5
0.17,1.51,68.32,408.6
0.17,1.51,68.32,408.7
0.17,1.51,68.33,408.8
0.17,1.51,68.33,408.9
0.17,1.51,68.33,409.0
0.17,1.50,68.33,409.1
0.17,1.50,68.33,409.2
0.17,1.50,68.33,409.3
0.17,1.50,68.34,409.4
0.17,1.50,68.34,409.5
0.17,1.50,68.34,409.6
0.16,1.49,68.34,409.7
0.16,1.49,68.34,409.8
0.16,1.49,68.34,409.9
0.16,1.49,68.35,410.0
0.16,1.49,68.35,410.1
0.16,1.49,68.35,410.2
0.16,1.48,68.35,410.3
0.16,1.48,68.35,410.4
0.16,1.48,68.35,410.5
0.16,1.48,68.36,410.6
0.16,1.48,68.36,410.7
0.16,1.48,68.36,410.8
0.16,1.47,68.36,410.9
0.16,1.47,68.36,411.0
0.16,1.47,68.37,411.1
0.16,1.47,68.37,411.2
0.16,1.47,68.37,411.3
0.16,1.47,68.37,411.4
0.16,1.46,68.37,411.5
0.16,1.46,68.37,411.6
0.16,1.46,68.38,411.7
0.16,1.46,68.38,411.8
0.16,1.46,68.38,411.9
0.16,1.46,68.38,412.0
0.16,1.45,68.38,412.1
0.16,1.45,68.38,412.2
0.16,1.45,68.38,412.3
0.16,1.45,68.39,412.4
0.16,1.45,68.39,412.5
0.16,1.45,68.39,412.6
0.16,1.44,68.39,412.7
0.16,1.44,68.39,412.8
0.16,1.44,68.39,412.9
0.16,1.44,68.40,413.0
0.16,1.44,68.40,413.1
0.16,1.44,68.40,413.2
0.16,1.43,68.40,413.3
0.16,1.43,68.40,413.4
0.16,1.43,68.40,413.5
0.16,1.43,68.41,413.6
0.16,1.43,68.41,413.7
0.16,1.43,68.41,413.8
0.16,1.42,68.41,413.9
0.16,1.42,68.41,414.0
0.16,1.42,68.41,414.1
0.16,1.42,68.42,414.2
0.16,1.42,68.42,414.3
0.16,1.42,68.42,414.4
0.16,1.42,68.42,414.5
0.16,1.41,68.42,414.6
0.16,1.41,68.42,414.7
0.16,1.41,68.43,414.8
0.16,1.41,68.43,414.9
0.16,1.41,68.43,415.0
0.16,1.41,68.43,415.1
0.16,1.40,68.43,415.2
0.16,1.40,68.43,415.3
0.16,1.40,68.44,415.4
0.16,1.40,68.44,415.5
0.16,1.40,68.44,415.6
0.16,1.40,68.44,415.7
0.16,1.39,68.44,415.8
0.16,1.39,68.44,415.9
0.16,1.39,68.44,416.0
0.16,1.39,68.45,416.1
0.16,1.39,68.45,416.2
0.16,1.39,68.45,416.3
0.16,1.39,68.45,416.4
0.16,1.38,68.45,416.5
0.16,1.38,68.45,416.6
0.16,1.38,68.46,416.7
0.16,1.38,68.46,416.8
0.16,1.38,68.46,416.9
0.16,1.38,68.46,417.0
0.16,1.37,68.46,417.1
0.16,1.37,68.46,417.2
0.16,1.37,68.47,417.3
0.16,1.37,68.47,417.4
0.16,1.37,68.47,417.5
0.16,1.37,68.47,417.6
0.16,1.37,68.47,417.7
0.16,1.36,68.47,417.8
0.16,1.36,68.47,417.9
0.16,1.36,68.48,418.0
0.16,1.36,68.48,418.1
0.16,1.36,68.48,418.2
0.16,1.36,68.48,418.3
0.16,1.35,68.48,418.4
0.16,1.35,68.48,418.5
0.16,1.35,68.49,418.6
0.16,1.35,68.49,418.7
0.16,1.35,68.49,418.8
0.16,1.35,68.49,418.9
0.16,1.35,68.49,419.0
0.16,1.34,68.49,419.1
0.16,1.34,68.49,419.2
0.16,1.34,68.50,419.3
0.16,1.34,68.50,419.4
0.16,1.34,68.50,419.5
0.16,1.34,68.50,419.6
0.16,1.34,68.50,419.7
0.16,1.33,68.50,419.8
0.16,1.33,68.51,419.9
0.16,1.33,68.51,420.0
0.16,1.33,68.51,420.1
0.16,1.33,68.51,420.2
0.16,1.33,68.51,420.3
0.16,1.32,68.51,420.4
0.16,1.32,68.51,420.5
0.16,1.32,68.52,420.6
0.16,1.32,68.52,420.7
0.16,1.32,68.52,420.8
0.16,1.32,68.52,420.9
0.16,1.32,68.52,421.0
0.16,1.31,68.52,421.1
0.16,1.31,68.52,421.2
0.16,1.31,68.53,421.3
0.16,1.31,68.53,421.4
0.16,1.31,68.53,421.5
0.16,1.31,68.53,421.6
0.16,1.31,68.53,421.7
0.16,1.30,68.53,421.8
0.16,1.30,68.54,421.9
0.16,1.30,68.54,422.0
0.16,1.30,68.54,422.1
0.16,1.30,68.54,422.2
0.16,1.30,68.54,422.3
0.16,1.30,68.54,422.4
0.16,1.29,68.54,422.5
0.16,1.29,68.55,422.6
0.16,1.29,68.55,422.7
0.16,1.29,68.55,422.8
0.16,1.29,68.55,422.9
0.16,1.29,68.55,423.0
0.16,1.29,68.55,423.1
0.16,1.28,68.55,423.2
0.16,1.28,68.56,423.3
0.16,1.28,68.56,423.4
0.16,1.28,68.56,423.5
0.16,1.28,68.56,423.6
0.16,1.28,68.56,423.7
0.16,1.28,68.56,423.8
0.16,1.27,68.56,423.9
0.16,1.27,68.57,424.0
0.16,1.27,68.57,424.1
0.16,1.27,68.57,424.2
0.16,1.27,68.57,424.3
0.16,1.27,68.57,424.4
0.16,1.27,68.57,424.5
0.16,1.26,68.57,424.6
0.16,1.26,68.58,424.7
0.16,1.26,68.58,424.8
0.16,1.26,68.58,424.9
0.16,1.26,68.58,425.0
0.16,1.26,68.58,425.1
0.16,1.26,68.58,425.2
0.16,1.25,68.58,425.3
0.16,1.25,68.59,425.4
0.16,1.25,68.59,425.5
0.16,1.25,68.59,425.6
0.16,1.25,68.59,425.7
0.16,1.25,68.59,425.8
0.16,1.25,68.59,425.9
0.16,1.24,68.59,426.0
0.16,1.24,68.60,426.1
0.16,1.24,68.60,426.2
0.16,1.24,68.60,426.3
0.16,1.24,68.60,426.4
0.16,1.24,68.60,426.5
0.16,1.24,68.60,426.6
0.16,1.23,68.60,426.7
0.16,1.23,68.61,426.8
0.16,1.23,68.61,426.9
0.16,1.23,68.61,427.0
0.16,1.23,68.61,427.1
0.16,1.23,68.61,427.2
0.16,1.23,68.61,427.3
0.16,1.22,68.61,427.4
0.16,1.22,68.62,427.5
0.16,1.22,68.62,427.6
0.16,1.22,68.62,427.7
0.16,1.22,68.62,427.8
0.16,1.22,68.62,427.9
0.16,1.22,68.62,428.0
0.16,1.22,68.62,428.1
0.16,1.21,68.63,428.2
0.16,1.21,68.63,428.3
0.16,1.21,68.63,428.4
0.16,1.21,68.63,428.5
0.16,1.21,68.63,428.6
0.16,1.21,68.63,428.7
0.16,1.21,68.63,428.8
0.16,1.20,68.63,428.9
0.16,1.20,68.64,429.0
0.16,1.20,68.64,429.1
0.16,1.20,68.64,429.2
0.16,1.20,68.64,429.3
0.16,1.20,68.64,429.4
0.16,1.20,68.64,429.5
0.16,1.19,68.64,429.6
0.16,1.19,68.65,429.7
0.16,1.19,68.65,429.8
0.16,1.19,68.65,429.9
0.16,1.19,68.65,430.0
0.16,1.19,68.65,430.1
0.16,1.19,68.65,430.2
0.16,1.19,68.65,430.3
0.16,1.18,68.66,430.4
0.16,1.18,68.66,430.5
0.16,1.18,68.66,430.6
0.16,1.18,68.66,430.7
0.16,1.18,68.66,430.8
0.16,1.18,68.66,430.9
0.16,1.18,68.66,431.0
0.16,1.18,68.66,431.1
0.16,1.17,68.67,431.2
0.16,1.17,68.67,431.3
0.16,1.17,68.67,431.4
0.16,1.17,68.67,431.5
0.16,1.17,68.67,431.6
0.16,1.17,68.67,431.7
0.16,1.17,68.67,431.8
0.16,1.16,68.68,431.9
0.16,1.16,68.68,432.0
0.16,1.16,68.68,432.1
0.16,1.16,68.68,432.2
0.16,1.16,68.68,432.3
0.16,1.16,68.68,432.4
0.16,1.16,68.68,432.5
0.16,1.16,68.68,432.6
0.16,1.15,68.69,432.7
0.16,1.15,68.69,432.8
0.16,1.15,68.69,432.9
0.16,1.15,68.69,433.0
0.16,1.15,68.69,433.1
0.16,1.15,68.69,433.2
0.16,1.15,68.69,433.3
0.16,1.15,68.69,433.4
0.16,1.14,68.70,433.5
0.16,1.14,68.70,433.6
0.16,1.14,68.70,433.7
0.16,1.14,68.70,433.8
0.16,1.14,68.70,433.9
0.16,1.14,68.70,434.0
0.16,1.14,68.70,434.1
0.16,1.13,68.71,434.2
0.16,1.13,68.71,434.3
0.16,1.13,68.71,434.4
0.16,1.13,68.71,434.5
0.16,1.13,68.71,434.6
0.16,1.13,68.71,434.7
0.16,1.13,68.71,434.8
0.16,1.13,68.71,434.9
0.16,1.12,68.72,435.0
0.16,1.12,68.72,435.1
0.16,1.12,68.72,435.2
0.16,1.12,68.72,435.3
0.16,1.12,68.72,435.4
0.16,1.12,68.72,435.5
0.16,1.12,68.72,435.6
0.16,1.12,68.72,435.7
0.16,1.11,68.73,435.8
0.16,1.11,68.73,435.9
0.16,1.11,68.73,436.0
0.16,1.11,68.73,436.1
0.16,1.11,68.73,436.2
0.16,1.11,68.73,436.3
0.16,1.11,68.73,436.4
0.16,1.11,68.73,436.5
0.16,1.10,68.74,436.6
0.16,1.10,68.74,436.7
0.16,1.10,68.74,436.8
0.16,1.10,68.74,436.9
0.16,1.10,68.74,437.0
0.16,1.10,68.74,437.1
0.16,1.10,68.74,437.2
0.16,1.10,68.74,437.3
0.16,1.09,68.75,437.4
0.16,1.09,68.75,437.5
0.16,1.09,68.75,437.6
0.16,1.09,68.75,437.7
0.16,1.09,68.75,437.8
0.16,1.09,68.75,437.9
0.16,1.09,68.75,438.0
0.16,1.09,68.75,438.1
0.16,1.09,68.76,438.2
0.16,1.08,68.76,438.3
0.16,1.08,68.76,438.4
0.16,1.08,68.76,438.5
0.16,1.08,68.76,438.6
0.16,1.08,68.76,438.7
0.16,1.08,68.76,438.8
0.16,1.08,68.76,438.9
0.16,1.08,68.77,439.0
0.16,1.07,68.77,439.1
0.16,1.07,68.77,439.2
0.16,1.07,68.77,439.3
0.16,1.07,68.77,439.4
0.16,1.07,68.77,439.5
0.16,1.07,68.77,439.6
0.16,1.07,68.77,439.7
0.16,1.07,68.78,439.8
0.16,1.06,68.78,439.9
0.16,1.06,68.78,440.0
0.16,1.06,68.78,440.1
0.16,1.06,68.78,440.2
0.16,1.06,68.78,440.3
0.16,1.06,68.78,440.4
0.16,1.06,68.78,440.5
0.16,1.06,68.78,440.6
0.16,1.06,68.79,440.7
0.16,1.05,68.79,440.8
0.16,1.05,68.79,440.9
0.16,1.05,68.79,441.0
0.16,1.05,68.79,441.1
0.16,1.05,68.79,441.2
0.16,1.05,68.79,441.3
0.16,1.05,68.79,441.4
0.16,1.05,68.80,441.5
0.16,1.04,68.80,441.6
0.16,1.04,68.80,441.7
0.16,1.04,68.80,441.8
0.16,1.04,68.80,441.9
0.16,1.04,68.80,442.0
0.16,1.04,68.80,442.1
0.16,1.04,68.80,442.2
0.16,1.04,68.81,442.3
0.16,1.04,68.81,442.4
0.16,1.03,68.81,442.5
0.16,1.03,68.81,442.6
0.16,1.03,68.81,442.7
0.16,1.03,68.81,442.8
0.16,1.03,68.81,442.9
0.16,1.03,68.81,443.0
0.16,1.03,68.81,443.1
0.16,1.03,68.82,443.2
0.16,1.02,68.82,443.3
0.16,1.02,68.82,443.4
0.16,1.02,68.82,443.5
0.16,1.02,68.82,443.6
0.16,1.02,68.82,443.7
0.16,1.02,68.82,443.8
0.16,1.02,68.82,443.9
0.16,1.02,68.83,444.0
0.16,1.02,68.83,444.1
0.16,1.01,68.83,444.2
0.16,1.01,68.83,444.3
0.16,1.01,68.83,444.4
0.16,1.01,68.83,444.5
0.16,1.01,68.83,444.6
0.16,1.01,68.83,444.7
0.16,1.01,68.83,444.8
0.16,1.01,68.84,444.9
0.16,1.01,68.84,445.0
0.16,1.00,68.84,445.1
0.16,1.00,68.84,445.2
0.16,1.00,68.84,445.3
0.16,1.00,68.84,445.4
0.16,1.00,68.84,445.5
0.16,1.00,68.84,445.6
0.16,1.00,68.84,445.7
0.16,1.00,68.85,445.8
0.16,1.00,68.85,445.9
0.16,0.99,68.85,446.0
0.16,0.99,68.85,446.1
0.16,0.99,68.85,446.2
0.16,0.99,68.85,446.3
0.16,0.99,68.85,446.4
0.16,0.99,68.85,446.5
0.16,0.99,68.85,446.6
0.16,0.99,68.86,446.7
0.16,0.99,68.86,446.8
0.16,0.98,68.86,446.9
0.16,0.98,68.86,447.0
0.16,0.98,68.86,447.1
0.16,0.98,68.86,447.2
0.16,0.98,68.86,447.3
0.16,0.98,68.86,447.4
0.16,0.98,68.86,447.5
0.16,0.98,68.87,447.6
0.16,0.98,68.87,447.7
0.16,0.97,68.87,447.8
0.16,0.97,68.87,447.9
0.16,0.97,68.87,448.0
0.16,0.97,68.87,448.1
0.16,0.97,68.87,448.2
0.16,0.97,68.87,448.3
0.16,0.97,68.87,448.4
0.16,0.97,68.88,448.5
0.16,0.97,68.88,448.6
0.16,0.96,68.88,448.7
0.16,0.96,68.88,448.8
0.16,0.96,68.88,448.9
0.16,0.96,68.88,449.0
0.16,0.96,68.88,449.1
0.16,0.96,68.88,449.2
0.16,0.96,68.88,449.3
0.16,0.96,68.89,449.4
0.16,0.96,68.89,449.5
0.16,0.95,68.89,449.6
0.16,0.95,68.89,449.7
0.16,0.95,68.89,449.8
0.16,0.95,68.89,449.9
0.16,0.95,68.89,450.0
0.16,0.95,68.89,450.1
0.16,0.95,68.89,450.2
0.16,0.95,68.90,450.3
0.16,0.95,68.90,450.4
0.16,0.95,68.90,450.5
0.16,0.94,68.90,450.6
0.16,0.94,68.90,450.7
0.16,0.94,68.90,450.8
0.16,0.94,68.90,450.9
0.16,0.94,68.90,451.0
0.16,0.94,68.90,451.1
0.16,0.94,68.91,451.2
0.16,0.94,68.91,451.3
0.16,0.94,68.91,451.4
0.16,0.93,68.91,451.5
0.16,0.93,68.91,451.6
0.16,0.93,68.91,451.7
0.16,0.93,68.91,451.8
0.16,0.93,68.91,451.9
0.16,0.93,68.91,452.0
0.16,0.93,68.91,452.1
0.16,0.93,68.92,452.2
0.16,0.93,68.92,452.3
0.16,0.93,68.92,452.4
0.16,0.92,68.92,452.5
0.16,0.92,68.92,452.6
0.16,0.92,68.92,452.7
0.16,0.92,68.92,452.8
0.16,0.92,68.92,452.9
0.16,0.92,68.92,453.0
0.16,0.92,68.93,453.1
0.16,0.92,68.93,453.2
0.16,0.92,68.93,453.3
0.16,0.92,68.93,453.4
0.16,0.91,68.93,453.5
0.16,0.91,68.93,453.6
0.16,0.91,68.93,453.7
0.16,0.91,68.93,453.8
0.16,0.91,68.93,453.9
0.16,0.91,68.93,454.0
0.16,0.91,68.94,454.1
0.16,0.91,68.94,454.2
0.16,0.91,68.94,454.3
0.16,0.90,68.94,454.4
0.16,0.90,68.94,454.5
0.16,0.90,68.94,454.6
0.16,0.90,68.94,454.7
0.16,0.90,68.94,454.8
0.16,0.90,68.94,454.9
0.16,0.90,68.94,455.0
0.16,0.90,68.95,455.1
0.16,0.90,68.95,455.2
0.16,0.90,68.95,455.3
0.16,0.89,68.95,455.4
0.16,0.89,68.95,455.5
0.16,0.89,68.95,455.6
0.16,0.89,68.95,455.7
0.16,0.89,68.95,455.8
0.16,0.89,68.95,455.9
0.16,0.89,68.95,456.0
0.16,0.89,68.96,456.1
0.16,0.89,68.96,456.2
0.16,0.89,68.96,456.3
0.16,0.88,68.96,456.4
0.16,0.88,68.96,456.5
0.16,0.88,68.96,456.6
0.16,0.88,68.96,456.7
0.16,0.88,68.96,456.8
0.16,0.88,68.96,456.9
0.16,0.88,68.96,457.0
0.16,0.88,68.97,457.1
0.16,0.88,68.97,457.2
0.16,0.88,68.97,457.3
0.16,0.87,68.97,457.4
0.16,0.87,68.97,457.5
0.16,0.87,68.97,457.6
0.16,0.87,68.97,457.7
0.16,0.87,68.97,457.8
0.16,0.87,68.97,457.9
0.16,0.87,68.97,458.0
0.16,0.87,68.98,458.1
0.16,0.87,68.98,458.2
0.16,0.87,68.98,458.3
0.16,0.87,68.98,458.4
0.16,0.86,68.98,458.5
0.16,0.86,68.98,458.6
0.16,0.86,68.98,458.7
0.16,0.86,68.98,458.8
0.16,0.86,68.98,458.9
0.16,0.86,68.98,459.0
0.16,0.86,68.99,459.1
0.16,0.86,68.99,459.2
0.16,0.86,68.99,459.3
0.16,0.86,68.99,459.4
0.16,0.85,68.99,459.5
0.16,0.85,68.99,459.6
0.16,0.85,68.99,459.7
0.16,0.85,68.99,459.8
0.16,0.85,68.99,459.9
0.16,0.85,68.99,460.0
0.16,0.85,69.00,460.1
0.16,0.85,69.00,460.2
0.16,0.85,69.00,460.3
0.16,0.85,69.00,460.4
0.16,0.85,69.00,460.5
0.16,0.84,69.00,460.6
0.16,0.84,69.00,460.7
0.16,0.84,69.00,460.8
0.16,0.84,69.00,460.9
0.16,0.84,69.00,461.0
0.16,0.84,69.00,461.1
